,,FGM,FGA,,3M,3A,,FTM,FTA,,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Top 25,Overtime,Steal:Turnover Ratio,Clutch Value Sum
UMass Lowell,,3,6,50,0,1,0,9,10,90,-2,1,6,0,2,1,2,0,0,0,0,
UMBC,,2,9,22.2222222222222,0,3,0,7,9,77.7777777777778,1,6,7,3,1,0,2,0,0,0,0,
UMKC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UNC Asheville,,3,9,33.3333333333333,1,4,25,4,7,57.1428571428571,-4,6,6,3,1,3,1,0,0,0,0,
UNC Greensboro,,2,5,40,1,3,33.3333333333333,10,12,83.3333333333333,6,7,5,1,3,0,1,0,0,0,0,
UNC Wilmington,,8,12,66.6666666666667,1,2,50,10,15,66.6666666666667,1.5,5.5,2.5,0.5,0,1,1,0,0,0,0,
UNLV,,5,13,38.4615384615385,2,6,33.3333333333333,16,17,94.1176470588235,3,5.5,2.5,2,0.5,0.5,0.5,0.5,0,0,1,
USC,,5,6,83.3333333333333,0,1,0,6,7,85.7142857142857,4,1,2,0,0,1,5,0,0,0,0,
USC Upstate,,7,18,38.8888888888889,2,10,20,5,6,83.3333333333333,-3.5,4,4,2,0.5,1,1,0.5,0,0,0.5,
UT Arlington,,3,4,75,2,2,100,4,4,100,-4,2,1,0,0,5,1,0,0,0,0,
UT Rio Grande Valley,,3,6,50,0,1,0,5,7,71.4285714285714,-2,5,5,1,2,3,3,2,0,0,0.666666666666667,
Utah,,4,9,44.4444444444444,1,3,33.3333333333333,0,1,0,-2,6,6,2,2,1,0,0,0,0,0,
Utah St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utah Tech,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utah Valley,,3,7,42.8571428571429,1,3,33.3333333333333,6,12,50,-4,6,8,3,2,1,1,0,0,0,0,
UTEP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTSA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Valparaiso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vanderbilt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VCU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vermont,,3,10,30,2,6,33.3333333333333,11,13,84.6153846153846,-2,2.5,6.5,0.5,3,0.5,2,1.5,0,0,3,
Villanova,,7,9,77.7777777777778,1,3,33.3333333333333,1,1,100,-2,1,4,0,2,2,1,1,0,0,0.5,
Virginia,,2,4,50,0,1,0,6,8,75,1,6,3,1,1,2,0,0,0,0,0,
Virginia Tech,,3,6,50,2,3,66.6666666666667,3,6,50,-1,4,8,1,3,1,1,0,0,0,0,
VMI,,7,14,50,4,7,57.1428571428571,7,8,87.5,-3.5,5.5,3.5,2,1.5,1.5,0.5,0.5,0,0,0.333333333333333,
Wagner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wake Forest,,7,10,70,2,3,66.6666666666667,10,12,83.3333333333333,4,3,5.5,1,4,2.5,3,2,0,1,0.8,
Washington,,6,17,35.2941176470588,1,3,33.3333333333333,10,17,58.8235294117647,-1,5.5,9,2,3,1,2,1,0,0,1,
Washington St.,,4,11,36.3636363636364,2,6,33.3333333333333,2,2,100,-8,6,7,2,1,3,0,0,0,0,0,
Weber St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
West Georgia,,5,12,41.6666666666667,2,4,50,2,4,50,5,13,2,7,0,3,2,2,0,0,0.666666666666667,
