,Team,,Top25,Home,OT,Opponent,Date,,FGM,FGA,,3M,3A,,FTM,FTA,,SM,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Win,ComeFromBehindWins,BlownLeadClutchLoss,Away,Neutral,Top 25,Overtime,Opp Historical Value,Opp Historical Value 1-100,Opp Historical Value 101-200,Opp Historical Value 300+,Opp Current Value,SOS of Game,% of points in clutch,Opp % of points in clutch,"Had Lead, but Lost",Came back from deficit and won,Perfect Fg,Perfect 3Fg,Perfect Ft,Free throws lost game,Made a 10+ marg into clutch game ,20% of scoring came during clut,"Clutch Shot differential? Move Value to part of SOS, average clutch last year?, percentage of clutch points from 3 and ft, opp 2 fg and 3fg",Clutch Value
Team:,,,,,,,,,Sum:,Sum:,,Sum:,Sum:,,Sum:,Sum:,,,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Sum:,Sum:,,Sum:,Sum:,Sum:,,,,,,,,,,,,,,,,,,Sum:
,Arkansas St.,,0,AWAY,0,Alabama,"Nov 8, 2024",,3,10,0.3,1,4,0.25,2,3,0.666666666666667,-9,-5,4,6,1,0,1,2,2,0,0,0,1,0,1,0,70.697,,,,,,0.113924050632911,0.159090909090909,0,0,0,0,0,0,0,0,,2.8973
Army,,,,,,,,,13,21,,6,8,,10,17,,,4.5,5,6,1,1.5,1,2.5,0.5,0.5,1,0,,0,0,1,,,,,,,,,,,,,,,,,,17.4189
,Army,,0,HOME,0,Albany,"Nov 4, 2024",,5,7,0.714285714285714,1,1,1,7,13,0.538461538461538,8,8,6,6,1,2,1,2,0,1,1,0,0,0,0,0,7.529,,,,,,0.26865671641791,0.169491525423729,0,0,0,0,0,0,0,1,,9.6602
,Army,,0,AWAY,1,Marist,"Nov 15, 2024",,8,14,0.571428571428571,5,7,0.714285714285714,3,4,0.75,-3,1,4,6,1,1,1,3,1,0,0,0,1,0,0,1,15.655,,,,,,0.272727272727273,0.252747252747253,0,0,0,0,0,0,0,1,,7.7587
Auburn,,,,,,,,,5,6,,1,1,,6,7,,,4,3,4,1,3,2,3,3,1,0,0,,0,1,0,,,,,,,,,,,,,,,,,,12.1776
,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Auburn,,1,AWAY,0,Houston,"Nov 9, 2024",,5,6,0.833333333333333,1,1,1,6,7,0.857142857142857,5,4,3,4,1,3,2,3,3,1,0,0,1,0,1,0,103.058,,,,,,0.22972972972973,0.188405797101449,0,0,0,0,0,0,0,1,,12.1776
Austin Peay,,,,,,,,,6,14,,0,1,,6,13,,,-1.5,5,7,2,3,0,1,1,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,7.0231
,Austin Peay,,0,AWAY,0,Butler,"Nov 8, 2024",,4,7,0.571428571428571,0,1,0,2,5,0.4,2,-1,3,6,1,2,0,2,2,1,0,0,1,0,0,0,2.512,,,,,,0.147058823529412,0.166666666666667,0,0,0,0,0,0,0,0,,5.1184
,Austin Peay,,0,HOME,0,Chattanooga,"Nov 11, 2024",,2,7,0.285714285714286,0,0,0,4,8,0.5,6,-2,7,8,3,4,0,0,0,1,0,0,0,0,0,0,20.783,,,,,,0.119402985074627,0.163934426229508,0,0,0,0,0,0,0,0,,1.9047
Ball St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Ball St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,,,,,,,,,2,7,,0,3,,3,4,,,0,4,5,2,1,0,1,0,1,0,0,,1,1,0,,,,,,,,,,,,,,,,,,3.3827
,Baylor,,1,NEUTRAL,0,Arkansas,"Nov 9, 2024",,2,7,0.285714285714286,0,3,0,3,4,0.75,5,0,4,5,2,1,0,1,0,1,0,0,0,1,1,0,60.172,,,,,,0.0972222222222222,0.104477611940299,0,0,0,0,0,0,0,0,,3.3827
Bellarmine,,,,,,,,,6,17,,2,10,,4,4,,,0,3.5,5,1.5,1.5,1,2,0.5,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,6.3653
,Bellarmine,,0,HOME,0,VMI,"Nov 9, 2024",,3,8,0.375,1,5,0.2,2,2,1,-5,6,5,5,2,2,0,2,0,0,0,0,0,0,0,0,10.468,,,,,,0.126760563380282,0.131578947368421,0,0,0,0,0,0,1,0,,7.002
,Bellarmine,,0,HOME,0,Southern Indiana,"Nov 13, 2024",,3,9,0.333333333333333,1,5,0.2,2,2,1,-2,-6,2,5,1,1,2,2,1,0,0,1,0,0,0,0,11.171,,,,,,0.130434782608696,0.211267605633803,1,0,0,0,0,0,0,0,,-0.6367
Belmont,,,,,,,,,7,8,,3,4,,2,2,,,8,4,0,1,0,1,1,0,1,1,0,,0,0,0,,,,,,,,,,,,,,,,,,12.363
,Belmont,,0,AWAY,0,Lipscomb,"Nov 12, 2024",,7,8,0.875,3,4,0.75,2,2,1,1,8,4,0,1,0,1,1,0,1,1,0,1,0,0,0,15.465,,,,,,0.2375,0.139240506329114,0,1,0,0,0,0,0,1,,12.363
Bethune Cookman,,,,,,,,,4,11,,2,7,,0,0,,,2,7,4,3,0,2,1,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,2.7214
,Bethune Cookman,,0,AWAY,0,Nebraska,"Nov 9, 2024",,4,11,0.363636363636364,2,7,0.285714285714286,0,0,0,-5,2,7,4,3,0,2,1,0,0,0,0,1,0,0,0,2.659,,,,,,0.172413793103448,0.126984126984127,0,0,0,0,0,0,0,0,,2.7214
Binghamton,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Boise St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,,,,,,,,,2,10,,0,2,,4,6,,,2,8,8,3,3,0,3,0,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,4.6443
,Boston College,,0,HOME,0,Temple,"Nov 15, 2024",,2,10,0.2,0,2,0,4,6,0.666666666666667,3,2,8,8,3,3,0,3,0,1,0,0,0,0,0,0,18.423,,,,,,0.111111111111111,0.0869565217391304,0,0,0,0,0,0,0,0,,4.6443
Boston University,,,,,,,,,4,11,,1,3,,1,2,,,-5,6,7,2,1,1,1,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,-0.064
,Boston University,,0,HOME,0,Northeastern,"Nov 4, 2024",,4,11,0.363636363636364,1,3,0.333333333333333,1,2,0.5,-8,-5,6,7,2,1,1,1,0,0,0,0,0,0,0,0,13.033,,,,,,0.138888888888889,0.1875,0,0,0,0,0,0,0,0,,-0.064
Bowling Green,,,,,,,,,5,10,,0,3,,9,11,,,0,4,5,1,0,1,4,4,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,10.8604
,Bowling Green,,0,HOME,0,Davidson,"Nov 8, 2024",,5,10,0.5,0,3,0,9,11,0.818181818181818,-6,0,4,5,1,0,1,4,4,0,0,0,0,0,0,0,24.752,,,,,,0.223529411764706,0.208791208791209,0,0,0,0,0,0,0,1,,10.8604
Bradley,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
