,,,,,-0.0143214,-0.8651815,2.232438,0.7017919,-5.222409,1.657324,1779.948,519.7707,-31.66588,1006.611,-4806.844,402.5341,-1946.194,-6.12827,-1.108895,929.5971,-22.36771,75.8617,13.85521,-181.5876,1065.952,-153.3246,13.11626,17.18644,329.7633,723.3885,-654.5281,-18.08019,-0.2245623,0.3791122,3.989411,19.93224,-75.99378,56.93902,24.58319,-100.6839,244.5489,-136.7003,-5.022856,1.282506,321.3072,861.5658,,
,Coach Name,Conference,Tournament team,,Coach Value,SOS Median,SOS Min,SOS Max,SOS STDEV,Expected Value,FG%,% of Points from 3,Fouls Per Game,Free Throw %,Opp Shooting %,Opp Three Point %,Opp % of Points from 3,Opp Turnovers Per Game,Rebounds Per Game,Rebound Percent,Scoring Margin,Turnover Margin,Rebound Margin,Offensive Eff,Defensive Eff,A/T Ratio,PPG,Off Rebounds Per Game,Assists Per FGM,Opp Assists Per FGM,Opp Turnover Per Off Play,Steals Per Game,Clutch FG,Clutch 3FG,Clutch FT,SM,REB,OPPReb,Oreb,OpOreb,Turn,OppTurn,Top 25,Overtime,Steal:Turnover Ratio,,,Value
Texas A&M,Jim Shaw,Southland,NO,,32.6377360812,-9.96723354963198,-21.698147897269,27.8967695177386,21.953307499764,,,,,,,,,,,,,,,,,,,,,,,,9.09090909090909,16.6666666666667,50,-9,5,7,3,1,0,1,0,0,0,1,,
Xavier,James Jones,Ivy,NO,,49.1456956586667,-9.8790568542493,-42.7144603753703,44.1680804188077,42.5634202511873,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Duke,Jon Scheyer,ACC,NO,,77.2519561666667,6.57223449511402,-15.6761734878773,82.2988298241251,43.6282536776274,,,,,,,,,,,,,,,,,,,,,,,,40,0,75,-6,5,4,1,2,4,1,1,0,0.25,1,,
UC Irvine,Mike Magpayo,Big West,NO,,22.5959605564,60.0291831986364,-11.830932208889,113.897985315175,63.078634430403,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Penn,Mike Rhodes,Big Ten,NO,,48.6074732350465,-11.2812936381125,-36.3155730765813,-0.0587413999146252,15.3529815924885,,,,,,,,,,,,,,,,,,,,,,,,50,50,78.5714285714286,-1,4.33333333333333,3.33333333333333,2,1.66666666666667,1.33333333333333,0.666666666666667,0,0,0.500000000000002,1,,
Indiana,Mike Woodson,Big Ten,NO,,57.4061847105333,-4.23708636631867,-9.32959722127267,28.10175040706,20.3012307341868,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Princeton,Kim English,Big East,NO,,42.6435099728,1.70658571926497,-16.9772590881023,6.24963595508697,9.85820995759641,,,,,,,,,,,,,,,,,,,,,,,,54.5454545454545,57.1428571428571,73.3333333333333,-2.66666666666667,2.66666666666667,6.33333333333333,0.666666666666667,2.66666666666667,1.33333333333333,1.33333333333333,0,0,1.5,1,,
Kentucky,Mark Pope,SEC,NO,,89.5283662914222,59.2305311359602,11.1451849368642,71.6030589540102,31.9385725374205,,,,,,,,,,,,,,,,,,,,,,,,37.5,0,87.5,6,4,5,2,1,1,4,1,0,2,1,,
Maryland,Kevin Willard,Big Ten,NO,,67.957464744067,-3.88775824607533,-19.9213367460753,-0.05507872677086,8.91691505578523,,,,,,,,,,,,,,,,,,,,,,,,40,66.6666666666667,42.8571428571429,1,6,8,2,2,1,2,1,0,1,1,,
Furman,Bob Richey,Southern,NO,,89.7649932077714,19.3597719149317,-1.86817010221429,28.8847653670097,15.743221094171,,,,,,,,,,,,,,,,,,,,,,,,40,50,85.7142857142857,3,3,5,0,1,0,3,0,0,0,1,,
