Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Bethune Cookman,,97,230,25,80,44,61,7.75,23.5,11.75,15.75,7,17.75,12.75,9.25,30.5,65.75,77.5,3,1,105,242,34,96,12.75,26.5,13,13.25,16.25,19,18.5,32
Binghamton,,70,165,21,59,32,49,9,25.3333333333333,16.6666666666667,17,2.33333333333333,23,6.66666666666667,6.33333333333333,30,64.3333333333333,91.3333333333333,3,1,86,187,35,94,11.6666666666667,27,16.3333333333333,6.66666666666667,16.6666666666667,24,16,30.6666666666667
Boise St.,,82,177,19,60,61,73,11.3333333333333,27.6666666666667,15,8.66666666666667,5.33333333333333,15.3333333333333,11.3333333333333,12.3333333333333,38,81.3333333333333,66,3,1,72,189,18,74,11.6666666666667,22.3333333333333,8,9.66666666666667,18,7.66666666666667,7.33333333333333,27.3333333333333
Boston College,,64,173,14,49,54,77,14.6666666666667,25.6666666666667,9.33333333333333,13,6,21.3333333333333,11,6,24.6666666666667,65.3333333333333,69.6666666666667,3,1,71,171,19,69,12,26.6666666666667,10.6666666666667,12,17.3333333333333,17.6666666666667,7.33333333333333,29.3333333333333
Boston University,,94,224,30,100,32,55,11,24.5,12.25,15,6.25,15.75,10,4.5,27.5,62.5,68.75,3,1,99,224,30,96,9,24.25,13.25,12,15.25,18,14.25,29
Bowling Green,,82,188,25,76,36,47,7.66666666666667,22,11.6666666666667,11.6666666666667,8.66666666666667,18.6666666666667,10,9.66666666666667,24.6666666666667,75,84.6666666666667,3,1,86,181,19,67,9,26.6666666666667,18.3333333333333,12,13.6666666666667,15.3333333333333,8.33333333333333,24
Bradley,,111,213,38,87,63,85,8.25,28.25,14.75,16,6.5,16,17,9.25,30,80.75,70.75,3,1,96,239,27,102,9.5,19.75,9.75,11.5,18,21,7.5,29
Brown,,100,233,29,99,50,81,13.25,25.75,11.25,13.75,6.25,17.75,11.25,11.5,31.5,69.75,68,3,1,94,240,25,74,13.75,24,9.25,12.25,16.5,13.75,5.5,26
Bryant,,57,137,19,49,42,57,17.5,29.5,17.5,15.5,9.5,23,22,20.5,32,87.5,77,2,1,47,123,17,55,11.5,26.5,8,17.5,23.5,10.5,4.5,23
Bucknell,,140,312,42,127,79,118,9.4,29.6,13.6,15.8,7.2,17.2,12.8,7.2,37.2,80.2,82.2,3,1,150,346,45,143,12.2,27.4,13.8,13.4,20.2,17.2,9.4,35.2
Buffalo,,81,180,27,83,35,58,6,28.6666666666667,14,13.3333333333333,5.66666666666667,15.6666666666667,9,9.66666666666667,33.3333333333333,74.6666666666667,85,3,1,94,215,27,77,15.3333333333333,31,16.6666666666667,11,16,15,18,37.3333333333333
Butler,,95,207,38,92,76,95,9.5,26.5,14.25,14.75,4,13,11.5,6.5,26.5,76,67,3,1,101,267,22,82,14.75,19.25,9.25,9.25,21.25,18,8.5,33.5
BYU,,139,271,46,127,44,75,15,30,20.5,9.75,10.75,12.25,20.25,13.5,43.5,92,64,4,0,90,224,41,110,6,22.25,13.75,16,15.5,9.5,5,18.5
Cal Baptist,,92,211,60,111,54,73,18.75,19,12.5,11.5,5.75,15.25,13.25,16.5,35.25,82.5,77.25,3,1,103,209,35,71,15.75,22.5,7,10.75,19.5,7.25,8.75,33
Cal Poly,,75,177,30,85,46,56,9.66666666666667,25.6666666666667,12.3333333333333,18.3333333333333,8.33333333333333,18.3333333333333,13,10,29.3333333333333,75.3333333333333,82.6666666666667,3,1,83,192,27,84,11.6666666666667,26,12.6666666666667,13.6666666666667,17.3333333333333,24,11.6666666666667,32
Cal St. Bakersfield,,91,186,20,51,31,54,14.3333333333333,25.3333333333333,7.33333333333333,13.3333333333333,5,12,16.3333333333333,6,28,77.6666666666667,74.3333333333333,3,1,71,163,18,65,9.66666666666667,21.3333333333333,10.6666666666667,11.6666666666667,34.3333333333333,13,12,32.6666666666667
Cal St. Fullerton,,73,202,17,68,73,93,9.25,18.25,7,13.75,5.5,18.75,10.5,9.25,22.5,59,80.5,3,1,103,213,44,119,10,25.25,15.75,12.5,19.5,17.75,11.25,23
Cal St. Northridge,,78,164,20,54,56,80,9.33333333333333,29,15.6666666666667,16.3333333333333,7,21.3333333333333,15.6666666666667,9.66666666666667,30.6666666666667,77.3333333333333,71.3333333333333,3,1,59,161,28,98,10,23.3333333333333,13,16.3333333333333,22.3333333333333,16.6666666666667,10.6666666666667,18.6666666666667
California,,78,177,23,63,67,89,12.3333333333333,28.3333333333333,10,13.6666666666667,6.33333333333333,36,17.3333333333333,10.3333333333333,34,82,77,3,1,84,188,26,67,10.6666666666667,24,12,14.3333333333333,11.6666666666667,18,13.3333333333333,31.3333333333333
Campbell,,72,164,23,76,39,47,7.66666666666667,21.6666666666667,12.3333333333333,12,9.33333333333333,18.3333333333333,16.6666666666667,10.3333333333333,27.3333333333333,68.6666666666667,65.3333333333333,3,2,72,147,17,47,6.33333333333333,23.6666666666667,12,14.6666666666667,18.3333333333333,14.6666666666667,7.33333333333333,30
Canisius,,111,271,47,132,52,64,7,20,10.4,13,6,15.6,7,8.6,20,64.2,82,3,1,153,300,39,115,10.8,26.2,18,8.8,14,16,12,40.4
Central Arkansas,,63,176,26,95,22,34,9.66666666666667,23.6666666666667,13.3333333333333,15,5.66666666666667,13,7,4.66666666666667,20,58,83,3,1,84,191,42,123,13.6666666666667,30,18.3333333333333,10.3333333333333,10,20,11.6666666666667,26
Central Connecticut,,71,165,13,51,35,51,7.33333333333333,23,10.6666666666667,11,9.33333333333333,12.6666666666667,11,6,29.3333333333333,63.3333333333333,68.6666666666667,2,2,77,171,24,87,9.33333333333333,26.6666666666667,14.6666666666667,13.6666666666667,12,13.3333333333333,7.33333333333333,34
Central Michigan,,100,223,32,106,46,68,11.5,25.5,15.5,17.5,9,18,14.75,9.75,30,69.5,70.5,2,2,91,215,31,102,8.75,22.25,12,13,16.5,17.75,18.5,28
Charleston,,116,249,34,84,76,99,9.5,27.25,16,15,6,14.25,13.5,9.25,33.5,85.5,83.75,3,1,115,247,35,94,8.5,25.5,16.25,14.25,24.5,16.25,16,38.5
Charleston Southern,,102,229,27,100,44,90,11.25,24.5,16.5,17.75,5.75,17.5,9.75,7.25,37,68.75,86.75,3,1,128,253,36,96,9.5,26.5,14.5,10.5,18.75,18,12.5,41
Charlotte,,74,157,24,68,55,71,7.66666666666667,20.6666666666667,14.6666666666667,9.66666666666667,5.33333333333333,14,8.66666666666667,6.66666666666667,32.6666666666667,75.6666666666667,76.6666666666667,3,1,90,173,19,64,9.66666666666667,23,17.3333333333333,8.66666666666667,22,13,11.6666666666667,44.6666666666667
Chattanooga,,122,291,37,142,68,91,9.4,24.6,15,12.4,5,17.4,10,6,30.4,69.8,74.8,3,1,134,285,33,105,8.8,25.2,14,10.2,16.8,12.4,5.8,31.6
Chicago St.,,77,242,24,89,49,71,9.5,24.5,7.5,15.25,7.5,20,10.5,6.25,20.5,56.75,86.5,0,4,118,250,31,92,13.25,33,17,11.5,15.5,19.5,15,38.5
Cincinnati,,108,188,29,67,33,52,12.3333333333333,29,21,8.33333333333333,6.33333333333333,9.66666666666667,17.6666666666667,11,46,92.6666666666667,53,3,1,61,184,13,51,12,17,9.66666666666667,12.6666666666667,13.6666666666667,6.33333333333333,4.33333333333333,28
Clemson,,118,250,36,97,53,80,13.5,24.25,15,11,9,14.5,16,8,35,81.25,68,3,1,93,222,32,93,10.5,22.5,10.5,15.25,19.5,11.25,5.5,24.5
Cleveland St.,,101,240,18,65,43,58,14,17.75,11.25,17.5,9,19,12.25,5.5,34.5,65.75,77,3,2,110,212,31,76,10.75,21,14.5,16.5,14.5,18,13.75,38
Coastal Carolina,,84,210,27,83,47,67,8.5,26.25,10.5,10.5,2.75,20.5,5.5,4.25,27.5,60.5,68,1,3,90,214,13,61,10.5,25.25,8,6.25,14.75,10,9,29
Colgate,,48,124,14,52,18,26,6,27,11,5.5,7,12,11.5,16.5,29,64,73.5,3,1,55,126,21,53,9.5,35,17,9.5,10,2,5,22
Colorado,,113,226,35,87,76,97,11.25,31.5,16.25,17,9,15.25,12.5,17.25,36,84.25,65.75,3,1,95,255,28,92,10.75,19.5,12.25,12.75,18.5,14.75,9.5,28
