,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,5.686516,0.025252,-0.113503,-1.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,0.076186,0.846192,-0.113265,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,,Wins Prior to Season,Losses Prior to Season,Wins at School,Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach,Consecutive seasons improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,AP + UPSET + MM Year Prior INDY,5 Year coach gap,Started Season as Head Coach,NOTES***,,Score
Detroit Mercy,Mark Montgomery,Horizon,FALSE,FALSE,TRUE,FALSE,TRUE,,124,170,0,0,2,2,126,172,0.4228,0.5,0,9,1,0,0,0,81,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.222222222222222,0,0,0,0,2,1,1,0,0,2,1,0.222222222222222,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0.5,0.031,0.469,0.125,0,0,-0.125,3,,,1,0,1,-18,0,0,1,,,14.5266207769333
Drake,Ben McCullum,Missouri Valley,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,0,3,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.8,0.2,1,0,0,0,0,,,0,0,0,-18,0,0,1,,,51.7416228
Drexel,Zach Spiker,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,215,242,113,130,2,2,217,244,0.4707,0.4656,1,16,9,0,1,0,100,1,0,0,1,0.0666666666666667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0.125,1,0,1,0,6,1,1,0,0,6,1,0.375,0,0,4,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.5,0.625,0,0.625,0,0,-0.625,0,,,1,0,1,-5,0,62,1,,,20.0334439510667
Duke,Jon Scheyer,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,54,18,54,18,3,1,57,19,0.75,0.75,0,3,3,3,2,2,9,0,0,1,0,0.666666666666667,4,0,0.666666666666667,0,0,4,2,0.666666666666667,16,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,1,1,0,0.5,0.5,0,0,2,2,2,2,0,3,2,1,1,0,2,0,2,0,3,0,0,9,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.75,0.75,0,0.75,0,0,-0.75,0,,,1,1,0,31,0,0,1,,,77.2519561666667
Duquesne,Dru Joyce III,A10,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.676,-0.676,1,0,0,0,0,,,0,0,0,-21,0,0,1,,,2.293190896
East Carolina,Michael Schwartz,American,FALSE,FALSE,FALSE,FALSE,TRUE,,31,35,31,35,4,0,35,35,0.5,0.5,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,2,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.455,0,0.455,0,0,-0.455,0,,,1,0,1,-13,0,0,1,,,29.3131209733333
East Tennessee St.,Brooks Savage,Southern,FALSE,FALSE,FALSE,FALSE,TRUE,,19,16,19,16,2,2,21,18,0.5385,0.5385,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0.543,0,0.543,0,0,-0.543,0,,,1,0,1,-13,0,0,1,,,32.339955061
East Texas A&M,Jaret von Rosenberg,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,26,40,26,40,1,3,27,43,0.3857,0.3857,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.394,0,0.394,0,0,-0.394,0,,,1,0,1,-13,0,0,1,,,11.3800902914
Eastern Illinois,Marty Simmons,Ohio Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,212,241,28,66,1,3,213,244,0.4661,0.2959,0,14,4,0,0,0,100,0,0,0,1,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.142857142857143,0,0,0,0,5,3,0,1,0,5,0,0.357142857142857,0,1,0,3,2,1,0,4,4,0,16,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0.25,0.438,0,0.438,2,0,-0.438,0,,,1,0,1,-5,0,0,1,,,12.5663573573429
Eastern Kentucky,A.W. Hamilton,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,104,88,104,88,2,1,106,89,0.5436,0.5436,0,7,7,0,0,0,49,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.428571428571429,0,0,0,0,3,2,0,0,0,4,0,0.571428571428571,1,0,2,0,2,0,3,0,0,9,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.548,0,0.548,0,0,-0.548,0,,,1,0,1,-5,0,-30,1,,,46.4459657066286
Eastern Michigan,Stan Heath,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,240,269,31,62,2,2,242,271,0.4717,0.3402,0,17,4,11,4,3,100,0,0,0.647058823529412,1,0.235294117647059,16,0,0.272727272727273,0,0,4,4,0.5,16,1,0,0,0,0,0,0,1,1,0,0,0,5,0,0,2,0,1,0,0.166666666666667,0.25,0,0,0,6,0,3,1,1,6,3,0.352941176470588,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.5,0.419,0,0.419,1,0,-0.419,0,,,1,0,1,-5,0,0,1,,,10.9698396728296
Eastern Washington,Dan Monsoon,Big Sky,FALSE,FALSE,TRUE,FALSE,TRUE,,445,396,0,0,1,2,446,398,0.5284,0.3333,0,28,1,8,4,1,100,0,0,0.285714285714286,0,0.142857142857143,16,0,0.125,0,0,3,4,0.428571428571429,9,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,8,1,0,0.55,0.25,0,0,0,15,0,8,2,0,15,8,0.535714285714286,0,1,3,0,4,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.656,-0.322666666666667,0.583,1,0,-0.583,0,,,1,0,1,6,0,0,1,,,43.3795780187524
Elon,Billy Taylor,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,186,211,21,43,1,2,187,213,0.4675,0.3284,0,14,3,0,1,0,100,0,0,0,1,0.0714285714285714,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,5,1,1,0.428571428571429,1,0,1,0,4,0,1,0,0,4,1,0.285714285714286,0,1,0,2,1,1,0,3,3,0,9,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0.333333333333333,0.406,0,0.406,1,0,-0.406,0,,,-1,0,1,-10,0,0,1,,,-25.5145125312857
Evansville,David Ragland,Missouri Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,22,45,22,45,1,3,23,48,0.3239,0.3239,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.25,0.486,0,0.486,1,0,-0.486,0,,,1,0,1,-13,0,0,1,,,3.8175582718
Fairfield,Chris Casey,MAAC,FALSE,FALSE,FALSE,FALSE,TRUE,,88,142,24,13,1,2,89,144,0.382,0.625,0,8,2,0,0,0,64,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.25,0,0,0,0,2,1,1,0,0,2,1,0.25,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.649,0,0.649,1,0,-0.649,0,,,1,0,1,-8,0,0,1,,,12.413598586
Fairleigh Dickinson,Jack Castleberry,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,15,17,15,17,2,3,17,20,0.4595,0.4595,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.4,0.469,0,0.469,0,0,-0.469,0,,,1,0,0,-16,0,0,1,,,17.413549151
FIU,Jeremy Ballard,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,88,101,88,101,0,2,88,103,0.4607,0.4607,1,7,7,0,0,0,49,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0.285714285714286,0,1,0,4,2,0,0,5,5,0,25,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.333,0,0.333,0,0,-0.333,0,,,-1,0,1,-13,0,100,1,,,-2.8944968466
Florida,Todd Golden,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,97,65,97,65,4,0,101,65,0.6084,0.6084,0,6,3,3,2,1,36,1,0,0.5,0,0.4,4,0,0.333333333333333,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333333333,0,0,0,0,3,1,3,0,0,4,3,0.666666666666667,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0.667,0,0.667,1,0,-0.667,0,,,1,1,0,29,0,0,1,,,52.7132117688
Florida A&M,Patrick Crarey,SWAC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.207,-0.207,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,-3.945271378
Florida Atlantic,John Jakus,American,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,2,3,2,0.6,0.6,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6,0.735,-0.135,1,0,0,0,0,,,0,0,0,-18,0,0,1,,,41.79755391
Florida Gulf Coast,Pat Chambers,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,221,211,31,33,0,4,221,215,0.5069,0.4559,0,14,3,11,1,1,100,1,0,0.785714285714286,0,0.0769230769230769,1,0,0.0909090909090909,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,1,1,0,1,1,1,1,6,0,4,1,0,6,4,0.428571428571429,0,1,0,1,2,1,0,2,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.438,0,0.438,0,0,-0.438,0,,,1,0,1,-1,0,0,1,,,8.46100699058322
Florida St.,Leonard Hamilton,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,643,491,443,281,3,1,646,492,0.5677,0.6126,0,38,23,38,11,11,100,1,0,1,0,0.297297297297297,100,0,0.297297297297297,0,0,14,11,0.56,100,0,0,0,0,0,0,1,5,1,0,0,0,3,0,0,4,0,1,1,0,0.0909090909090909,0.0909090909090909,0,0,27,0,14,5,0,28,14,0.736842105263158,1,0,1,0,17,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.515,0,0.515,1,0,-0.515,0,,,1,0,0,8,0,-58,1,,,57.1025986327728
Fordham,Keith Urgo,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,38,28,38,28,2,2,40,30,0.5714,0.5714,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,1,1,0,1,0,1,0,0.333333333333333,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0.394,0,0.394,0,0,-0.394,0,,,1,0,1,-5,0,0,1,,,29.5848748308
Fresno St.,Vance Walberg,Mountain West,FALSE,FALSE,TRUE,FALSE,TRUE,,14,35,0,0,1,2,15,37,0.2885,0.3333,0,3,1,0,0,0,9,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0.333333333333333,0.364,-0.030666666666667,0.333,1,0,-0.333,17,,,1,0,1,-21,0,0,1,,,12.4819964916667
Furman,Bob Richey,Southern,FALSE,FALSE,FALSE,FALSE,TRUE,,156,71,156,71,4,0,160,71,0.6926,0.6926,0,8,8,0,1,0,64,1,0,0,0,0.142857142857143,1,0,0,0,0,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0.75,1,0,1,0,7,0,5,3,0,8,5,1,1,0,7,0,7,0,8,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.515,0,0.515,0,0,-0.515,0,,,1,0,0,-1,0,-42,1,,,89.7649932077714
Gardner Webb,Jeremy Luther,Big South,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,2,2,2,2,0.5,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0.5,0.515,-0.015,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,24.46088019
George Mason,Tony Skinn,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,20,12,20,12,2,3,22,15,0.5946,0.5946,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0.5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0.4,0.625,0,0.625,0,0,-0.625,0,,,1,0,1,-8,0,0,1,,,26.4547746932
George Washington,Chris Caputo,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,31,33,31,33,3,0,34,33,0.5075,0.5075,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.469,0,0.469,0,0,-0.469,0,,,1,0,1,-10,0,0,1,,,29.3562001003333
Georgetown,Ed Cooley,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,343,245,9,23,2,1,345,246,0.5838,0.3143,0,19,2,14,7,7,100,1,0,0.736842105263158,0,0.388888888888889,49,0,0.5,0,0,3,7,0.3,9,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,5,2,1,1,0.4,0.142857142857143,0.142857142857143,0,0,13,0,9,2,0,14,9,0.736842105263158,1,0,0,1,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.281,0,0.281,0,0,-0.281,0,,,1,0,1,3,0,0,1,,,46.3247158819024
Georgia,Mike White,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,279,161,36,33,4,0,283,161,0.6374,0.5479,0,14,3,10,4,4,100,1,0,0.714285714285714,0,0.307692307692308,16,0,0.4,0,0,6,4,0.6,36,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,3,3,0,0,0.75,0,0,0,0,12,1,8,4,0,13,8,0.928571428571429,1,0,1,0,11,0,2,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.625,0,0.625,1,0,-0.625,0,,,1,0,1,13,0,0,1,,,59.9527433315692
Georgia Southern,Charlie Henry,Sun Belt,FALSE,FALSE,FALSE,FALSE,TRUE,,9,24,9,24,4,2,13,26,0.3333,0.3333,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0.666666666666667,0.273,0,0.273,0,0,-0.273,0,,,1,0,1,-16,0,0,1,,,31.4874976426
Georgia St.,Jonas Hayes,Sun Belt,FALSE,FALSE,FALSE,FALSE,TRUE,,28,38,24,38,1,2,29,40,0.4203,0.3846,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333,0.452,0,0.452,1,0,-0.452,0,,,1,0,1,-13,0,0,1,,,11.3874923286
Georgia Tech,Damon Stoudamire,ACC,FALSE,FALSE,FALSE,FALSE,TRUE,,85,95,14,18,2,2,87,97,0.4728,0.4444,0,7,2,2,0,0,49,1,0,0.285714285714286,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,1,1,0,0,0,1,0,0.142857142857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.5,0.438,0,0.438,0,0,-0.438,0,,,1,0,1,-7,0,0,1,,,12.7209783216
Gonzaga,Mark Few,WCC,FALSE,FALSE,FALSE,FALSE,TRUE,,716,143,716,143,3,0,719,143,0.8341,0.8341,0,26,26,0,24,0,100,1,0,0,0,0.96,100,0,0,0,0,40,24,0.625,100,1,0,0,0,0,0,0,12,4,2,2,0,0,0,24,24,0,19,0,1,0.791666666666667,0,0,0,25,25,25,23,7,26,25,1,1,0,25,0,25,0,26,0,0,676,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.771,0,0.771,0,0,-0.771,0,,,1,1,0,39,0,1,1,,,302.773279938533
Grambling St.,Donte Jackson,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,120,102,120,102,1,2,121,104,0.5378,0.5378,0,8,8,0,1,0,64,1,0,0,0,0.142857142857143,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0.5,0,0,0,0,4,2,2,0,0,4,2,0.5,0,1,2,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0.583,0,0.583,0,0,-0.583,0,,,1,0,1,8,0,133,1,,,29.0081435401714
Grand Canyon,Bryce Drew,WAC,FALSE,FALSE,FALSE,FALSE,TRUE,,258,140,94,32,2,1,260,141,0.6484,0.7442,0,13,5,3,6,1,100,1,0,0.230769230769231,0,0.5,36,0,0.333333333333333,0,0,1,6,0.142857142857143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,0,0.7,0.833333333333333,0,0,0,10,7,3,4,2,11,3,0.846153846153846,1,0,4,0,4,1,5,0,0,25,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0.666666666666667,0.857,0,0.857,3,0,-0.857,0,,,1,0,0,11,0,11,1,,,91.4381627768586
Green Bay,Doug Gottlieb,Horizon,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,3,1,3,0.25,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.25,0.563,-0.313,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,21.742707798
Hampton,Ivan Thomas,CAA,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,3,1,3,0.25,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.273,-0.023,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,8.275142458
Harvard,Tommy Amaker,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,468,318,292,179,1,4,469,322,0.5929,0.6155,0,27,16,11,5,1,100,1,0,0.407407407407407,0,0.192307692307692,25,0,0.0909090909090909,0,0,4,5,0.444444444444444,16,1,0,0,0,0,0,0,1,0,0,0,0,9,1,0,4,6,0,0,0.625,0,0,0,0,17,11,0,2,0,17,0,0.62962962962963,0,1,1,0,6,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0.2,0.519,0,0.519,1,0,-0.519,0,,,1,0,1,1,0,72,1,,,17.7474701056402
Hawaii,Eran Ganot,Big West,FALSE,FALSE,FALSE,FALSE,TRUE,,159,104,156,102,3,0,162,104,0.609,0.6092,0,10,10,0,1,0,100,1,0,0,0,0.111111111111111,1,0,0,0,0,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0.2,0,0,0,0,8,3,2,1,0,9,2,0.9,1,0,7,0,7,0,8,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.588,0,0.588,0,0,-0.588,0,,,1,0,1,-2,0,-90,1,,,51.1672309931111
High Point,Alan Huss,Big South,FALSE,FALSE,FALSE,FALSE,TRUE,,27,9,27,9,4,0,31,9,0.775,0.775,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,1,1,0,0,2,1,1,1,0,1,0,1,0,2,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0.75,0,0.75,0,0,-0.75,0,,,1,0,1,-8,0,0,1,,,52.14726605
Hofstra,Speedy Claxton,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,66,34,66,34,4,0,70,34,0.6731,0.6731,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.75,0,0,0,0,3,3,3,1,0,4,3,1,1,0,3,0,3,0,4,0,0,16,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0.606,0,0.606,0,0,-0.606,0,,,1,0,1,-5,0,0,1,,,50.3121855882
