,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Grambling St.,,,74.1949731505729,32.3728251932097,116.017121107936,59.1454488488772,148.389946301146
Grand Canyon,,,-18.9606967294846,-23.2163326625816,-13.5340342245374,4.85293736103918,-55.7110636166036
Green Bay,,,17.2798976771619,-7.44001817202,60.55353382798,28.3179979957628,87.6733110102838
Hampton,,,-0.41175946542,-9.10853037594511,70.76041802458,43.8181119164666,61.2401281832149
Harvard,,,-4.5689568493776,-12.4633146753136,31.2185197571064,18.1172636060656,11.4221568669833
Hawaii,,,13.7845764207921,8.87601716528311,18.6931356763011,6.9417510708528,27.5691528415842
High Point,,,0.37770990909289,-24.799612469544,43.12848566,28.6422903450873,19.0842930086418
Hofstra,,,34.276046108394,25.31364899618,44.8634793154713,9.78616514460104,104.453174420045
Holy Cross,,,21.2167626946824,-11.3056690664136,66.9164307297737,30.9647005381783,108.880731160459
Houston,,,32.971273362273,-7.40361357003297,56.216552585241,32.1921316540106,81.784212377481
Houston Christian,,,30.78282230122,23.55255304622,38.01309155622,10.2251448400302,61.56564460244
Howard,,,17.635937714746,9.02894298568266,34.72595718276,13.0797914249936,61.3908378831887
Idaho,,,-5.872029804484,-9.844745744462,20.977017891338,16.7662108009602,5.260242342392
Idaho St.,,,57.2378622921473,39.640325497946,87.030970497946,23.9554302518299,183.909158288039
Illinois,,,12.7143550323733,-12.7400744916907,51.735887694862,32.4750101195955,51.7101682355446
Illinois Chicago,,,49.778629590492,35.870897171236,63.686362009748,19.6685038091678,99.557259180984
Illinois St.,,,19.442236547542,-33.863686093234,55.525538906766,44.9702858263695,41.104089361074
Incarnate Word,,,19.596043327242,4.72386081964,33.4161382621398,14.3493531874343,57.7360424090218
Indiana,,,-4.23708636631867,-9.32959722127267,28.10175040706,20.3012307341868,14.5350668194687
Indiana St.,,,-25.5750001956182,-50.900394807346,59.126730915508,57.6219391960706,-17.3486640874562
Iona,,,14.1176338630035,-19.2049644022287,43.7217724493453,26.7543275439665,52.7520757731235
Iowa,,,-3.6586212534228,-35.7882938897852,19.8678549043928,28.6614106567835,-23.237681492238
Iowa St.,,,-19.7561942675149,-23.1514719308558,-16.360916604174,4.80164771951913,-39.5123885350298
IU Indy,,,24.3828262377022,-17.7857732950756,66.55142577048,59.6354053655341,48.7656524754044
Jackson St.,,,42.358709231176,-6.268756164966,70.890979243802,38.2353617680963,149.339641541188
Jacksonville,,,8.24978158493489,5.433773189356,33.084409645292,15.216473258712,46.7679644195829
Jacksonville St.,,,8.28054390946903,-12.460985867563,62.0205993909003,38.4398039434225,57.8401574328063
James Madison,,,7.58953599025742,-23.7903990684186,14.0240179432254,20.2321238637153,-2.17684513493578
Kansas,,,-1.94485538475204,-18.1937389408556,22.872099988216,16.9469439133528,0.78865027785632
Kansas St.,,,-25.144165754504,-46.8924358537953,-15.950228868362,15.8899124232299,-87.9868304766613
Kennesaw St.,,,35.2492992734742,21.835683071784,48.6629154751644,18.9697179528978,70.4985985469484
Kent St.,,,18.7835379656131,7.16720872852413,30.3998672027021,16.4279703520824,37.5670759312262
Kentucky,,,59.2305311359602,11.1451849368642,71.6030589540102,31.9385725374205,141.978775026835
La Salle,,,32.0318398802748,5.52336352278617,39.2056102547268,15.4835896660113,108.792653538063
Lafayette,,,24.028205023313,3.396522405402,39.161515611908,14.9303816564875,90.614448063936
Lamar,,,6.66179314643644,6.66179314643644,6.66179314643644,–,6.66179314643644
Le Moyne,,,22.8451466689849,-27.479228041984,85.159951958016,46.115723783909,103.371017254002
