,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Byron Brown,Air Force,HOME,Jacksonville St.,CUSA,0,,Bench,0,15,0,1,0,0,0,0,0,0,0,0,0,2,0,,15.992,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.5,1,0,453,0,FALSE, , , , , , , , , , , , , , , , 
,Byron Brown,Air Force,HOME,LIU,NEC,0,0,Bench,0,20,0,1,0,1,2,2,0,2,1,0,2,3,2,0,7.111,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-9,-11.5,1,0,409,0,TRUE,0,20,0,1,0,1,2,2,0,2,1,0,2,3,2,Byron Brown
,Caleb Walker,Air Force,HOME,Jacksonville St.,CUSA,0,,Bench,0,22,4,6,1,1,1,2,3,1,4,0,1,3,10,,15.992,,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-1.5,1,0,453,0,TRUE,0,22,4,6,1,1,1,2,3,1,4,0,1,3,10,Caleb Walker
,Caleb Walker,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,25,5,7,0,0,2,3,1,6,2,0,2,3,12,,14.617,,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-16,-5.5,0,0,1212,0,TRUE,0,25,5,7,0,0,2,3,1,6,2,0,2,3,12,Caleb Walker
,Caleb Walker,Air Force,HOME,Belmont,Missouri Valley,0,0,Bench,0,22,5,6,0,0,7,9,4,2,1,0,2,4,17,0,30.544,0,10.946,1,0,0,0,0,0,1,0,1,0,0,1,1,0,-8,2.5,0,0,2001,0,TRUE,0,22,5,6,0,0,7,9,4,2,1,0,2,4,17,Caleb Walker
,Ethan Taylor,Air Force,HOME,Jacksonville St.,CUSA,0,,Starter,1,39,7,14,4,10,5,6,2,8,6,2,1,1,23,,15.992,,10.946,2,1,0,0,0,0,1,0,0,1,1,0,1,1,6,-1.5,1,0,453,0,TRUE,1,39,7,14,4,10,5,6,2,8,6,2,1,1,23,Ethan Taylor
,Ethan Taylor,Air Force,HOME,North Alabama,ASUN,0,,Starter,1,39,9,13,8,11,4,4,1,7,1,1,2,3,30,,14.617,,10.946,1,0,0,0,0,1,1,1,0,0,0,0,1,1,-16,-5.5,0,0,1212,0,TRUE,1,39,9,13,8,11,4,4,1,7,1,1,2,3,30,Ethan Taylor
,Ethan Taylor,Air Force,HOME,LIU,NEC,0,0,Starter,1,38,4,12,1,8,1,1,0,4,4,3,2,4,10,0,7.111,0,10.946,1,0,0,0,0,0,0,0,0,1,0,1,1,0,-9,-11.5,1,0,409,0,TRUE,1,38,4,12,1,8,1,1,0,4,4,3,2,4,10,Ethan Taylor
,Ethan Taylor,Air Force,HOME,Belmont,Missouri Valley,0,0,Starter,1,40,5,13,2,10,3,4,2,8,7,1,2,3,15,0,30.544,0,10.946,2,1,0,0,1,0,0,1,0,0,1,0,1,0,-8,2.5,0,0,2001,0,TRUE,1,40,5,13,2,10,3,4,2,8,7,1,2,3,15,Ethan Taylor
,Jeffrey Mills,Air Force,HOME,Jacksonville St.,CUSA,0,,Starter,1,38,6,10,4,7,2,5,0,5,4,1,1,2,18,,15.992,,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-1.5,1,0,453,0,TRUE,1,38,6,10,4,7,2,5,0,5,4,1,1,2,18,Jeffrey Mills
,Jeffrey Mills,Air Force,HOME,North Alabama,ASUN,0,,Starter,1,38,0,4,0,2,1,2,0,4,4,0,1,3,1,,14.617,,10.946,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-16,-5.5,0,0,1212,0,TRUE,1,38,0,4,0,2,1,2,0,4,4,0,1,3,1,Jeffrey Mills
,Jeffrey Mills,Air Force,HOME,LIU,NEC,0,0,Starter,1,37,1,6,0,3,0,0,0,2,1,2,0,5,2,0,7.111,0,10.946,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-9,-11.5,1,0,409,0,TRUE,1,37,1,6,0,3,0,0,0,2,1,2,0,5,2,Jeffrey Mills
,Jeffrey Mills,Air Force,HOME,Belmont,Missouri Valley,0,0,Starter,1,32,5,10,1,2,1,2,1,3,6,0,0,4,12,0,30.544,0,10.946,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-8,2.5,0,0,2001,0,TRUE,1,32,5,10,1,2,1,2,1,3,6,0,0,4,12,Jeffrey Mills
,Kyle Marshall,Air Force,HOME,Jacksonville St.,CUSA,0,,Bench,0,18,3,5,0,1,1,1,0,1,0,1,2,2,7,,15.992,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.5,1,0,453,0,TRUE,0,18,3,5,0,1,1,1,0,1,0,1,2,2,7,Kyle Marshall
,Kyle Marshall,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,14,0,3,0,1,2,2,0,1,1,0,2,0,2,,14.617,,10.946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-16,-5.5,0,0,1212,0,TRUE,0,14,0,3,0,1,2,2,0,1,1,0,2,0,2,Kyle Marshall
,Kyle Marshall,Air Force,HOME,LIU,NEC,0,0,Bench,0,24,2,5,1,2,6,7,1,3,1,1,1,2,11,0,7.111,0,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-9,-11.5,1,0,409,0,TRUE,0,24,2,5,1,2,6,7,1,3,1,1,1,2,11,Kyle Marshall
,Kyle Marshall,Air Force,HOME,Belmont,Missouri Valley,0,0,Bench,0,17,1,3,0,0,0,0,0,2,1,0,0,3,2,0,30.544,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,2.5,0,0,2001,0,TRUE,0,17,1,3,0,0,0,0,0,2,1,0,0,3,2,Kyle Marshall
,Luke Kearney,Air Force,HOME,Jacksonville St.,CUSA,0,,Starter,1,29,5,10,3,8,0,0,0,1,2,1,2,3,13,,15.992,,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-1.5,1,0,453,0,TRUE,1,29,5,10,3,8,0,0,0,1,2,1,2,3,13,Luke Kearney
