Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Oliver,North Florida,HOME,Charleston Southern,Big South,0,,Bench,0,9,0,0,0,0,0,0,0,3,0,1,1,0,0,,10.109,,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-7.5,0,0,"2,019",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasai Miles,North Florida,AWAY,South Carolina,SEC,1,,Starter,1,29,5,11,1,3,0,5,4,5,1,1,1,1,11,,11.514,,9.411,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,19.5,1,0,1903,0,TRUE,1,29,5,11,1,3,0,5,4,5,1,1,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasai Miles,North Florida,AWAY,Georgia Tech,ACC,0,0,Starter,1,33,5,12,2,8,6,7,1,10,4,0,2,5,18,0,-3.36,0,9.411,2,1,0,0,0,0,0,1,0,0,0,1,1,0,12,14.5,0,1,3553,0,TRUE,1,33,5,12,2,8,6,7,1,10,4,0,2,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasai Miles,North Florida,AWAY,Georgia,SEC,0,0,Starter,1,27,1,7,0,4,1,2,1,1,0,0,0,1,3,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,14.5,0,0,"5,757",0,TRUE,1,27,1,7,0,4,1,2,1,1,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasai Miles,North Florida,HOME,Charleston Southern,Big South,0,,Starter,1,27,8,13,3,6,2,6,2,5,1,2,2,4,21,,10.109,,9.411,1,0,0,0,0,0,0,0,0,0,0,1,1,1,24,-7.5,0,0,"2,019",0,TRUE,1,27,8,13,3,6,2,6,2,5,1,2,2,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Smith,North Florida,AWAY,South Carolina,SEC,1,,Starter,1,25,6,13,1,6,3,4,1,0,3,0,1,2,16,,11.514,,9.411,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,19.5,1,0,1903,0,TRUE,1,25,6,13,1,6,3,4,1,0,3,0,1,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Smith,North Florida,AWAY,Georgia Tech,ACC,0,0,Starter,1,29,6,14,3,8,0,0,0,6,5,0,2,2,15,0,-3.36,0,9.411,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,14.5,0,1,3553,0,TRUE,1,29,6,14,3,8,0,0,0,6,5,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Smith,North Florida,AWAY,Georgia,SEC,0,0,Starter,1,18,3,6,0,3,1,1,1,2,3,0,0,4,5,0,-0.491,0,9.411,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-13,14.5,0,0,"5,757",0,TRUE,1,18,3,6,0,3,1,1,1,2,3,0,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Smith,North Florida,HOME,Charleston Southern,Big South,0,,Starter,1,22,3,8,3,5,2,2,0,1,6,1,2,0,11,,10.109,,9.411,1,0,0,0,0,0,0,0,0,0,1,0,1,0,24,-7.5,0,0,"2,019",0,TRUE,1,22,3,8,3,5,2,2,0,1,6,1,2,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harris,North Florida,AWAY,South Carolina,SEC,1,,Starter,1,15,2,5,0,0,0,0,1,2,0,2,3,4,4,,11.514,,9.411,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,19.5,1,0,1903,0,TRUE,1,15,2,5,0,0,0,0,1,2,0,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harris,North Florida,AWAY,Georgia Tech,ACC,0,0,Starter,1,28,8,10,0,0,6,8,4,3,1,1,0,3,22,0,-3.36,0,9.411,1,0,0,0,0,0,1,0,0,1,0,0,1,1,12,14.5,0,1,3553,0,TRUE,1,28,8,10,0,0,6,8,4,3,1,1,0,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harris,North Florida,AWAY,Georgia,SEC,0,0,Starter,1,20,6,12,0,0,0,0,3,3,0,2,0,3,4,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-13,14.5,0,0,"5,757",0,TRUE,1,20,6,12,0,0,0,0,3,3,0,2,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harris,North Florida,HOME,Charleston Southern,Big South,0,,Starter,1,23,8,11,2,3,5,6,3,5,0,2,1,4,23,,10.109,,9.411,1,0,0,0,0,0,0,0,1,0,0,1,1,1,24,-7.5,0,0,"2,019",0,TRUE,1,23,8,11,2,3,5,6,3,5,0,2,1,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamrin Oriol,North Florida,AWAY,South Carolina,SEC,1,,Bench,0,23,3,8,3,7,0,0,0,2,0,0,1,1,9,,11.514,,9.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,19.5,1,0,1903,0,TRUE,0,23,3,8,3,7,0,0,0,2,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamrin Oriol,North Florida,AWAY,Georgia Tech,ACC,0,0,Bench,0,22,4,8,0,4,4,6,0,2,0,1,0,2,12,0,-3.36,0,9.411,1,0,0,0,1,0,0,0,0,1,0,0,1,0,12,14.5,0,1,3553,0,TRUE,0,22,4,8,0,4,4,6,0,2,0,1,0,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamrin Oriol,North Florida,AWAY,Georgia,SEC,0,0,Bench,0,27,4,11,4,9,2,2,3,3,2,0,0,0,1,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,14.5,0,0,"5,757",0,TRUE,0,27,4,11,4,9,2,2,3,3,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamrin Oriol,North Florida,HOME,Charleston Southern,Big South,0,,Bench,0,19,1,6,1,4,0,0,0,2,0,1,2,3,3,,10.109,,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-7.5,0,0,"2,019",0,TRUE,0,19,1,6,1,4,0,0,0,2,0,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Murphy,North Florida,AWAY,South Carolina,SEC,1,,Bench,0,20,5,9,4,8,0,0,2,4,2,2,0,3,14,,11.514,,9.411,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,19.5,1,0,1903,0,TRUE,0,20,5,9,4,8,0,0,2,4,2,2,0,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Murphy,North Florida,AWAY,Georgia Tech,ACC,0,0,Bench,0,21,3,6,2,4,2,2,2,0,0,0,2,1,10,0,-3.36,0,9.411,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,14.5,0,1,3553,0,TRUE,0,21,3,6,2,4,2,2,2,0,0,0,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Murphy,North Florida,AWAY,Georgia,SEC,0,0,Bench,0,24,8,12,5,7,1,1,1,1,0,0,0,0,2,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,14.5,0,0,"5,757",0,TRUE,0,24,8,12,5,7,1,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Murphy,North Florida,HOME,Charleston Southern,Big South,0,,Bench,0,20,7,11,5,7,0,1,2,2,2,1,0,1,19,,10.109,,9.411,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,-7.5,0,0,"2,019",0,TRUE,0,20,7,11,5,7,0,1,2,2,2,1,0,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Lee,North Florida,HOME,Charleston Southern,Big South,0,,Bench,0,9,0,1,0,1,0,1,0,0,0,0,1,2,0,,10.109,,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-7.5,0,0,"2,019",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Lliteras,North Florida,AWAY,South Carolina,SEC,1,,Starter,1,32,5,11,1,2,2,2,2,3,0,0,0,2,13,,11.514,,9.411,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,19.5,1,0,1903,0,TRUE,1,32,5,11,1,2,2,2,2,3,0,0,0,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Lliteras,North Florida,AWAY,Georgia Tech,ACC,0,0,Starter,1,31,7,11,2,4,2,3,1,4,1,0,1,1,18,0,-3.36,0,9.411,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,14.5,0,1,3553,0,TRUE,1,31,7,11,2,4,2,3,1,4,1,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Lliteras,North Florida,AWAY,Georgia,SEC,0,0,Starter,1,30,6,13,3,9,0,0,0,3,1,0,0,0,2,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,14.5,0,0,"5,757",0,TRUE,1,30,6,13,3,9,0,0,0,3,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Lliteras,North Florida,HOME,Charleston Southern,Big South,0,,Starter,1,26,3,6,1,2,2,2,0,3,0,0,1,1,9,,10.109,,9.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,-7.5,0,0,"2,019",0,TRUE,1,26,3,6,1,2,2,2,0,3,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestor Dyachok,North Florida,AWAY,Georgia,SEC,0,0,Bench,0,6,0,2,0,2,0,0,0,0,0,0,0,0,3,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,14.5,0,0,"5,757",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestor Dyachok,North Florida,HOME,Charleston Southern,Big South,0,,Bench,0,2,1,1,0,0,0,0,0,0,0,1,0,0,2,,10.109,,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-7.5,0,0,"2,019",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Berry,North Florida,AWAY,South Carolina,SEC,1,,Starter,1,18,0,3,0,2,0,0,1,1,1,0,0,3,0,,11.514,,9.411,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,19.5,1,0,1903,0,TRUE,1,18,0,3,0,2,0,0,1,1,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Berry,North Florida,AWAY,Georgia Tech,ACC,0,0,Starter,1,19,0,2,0,2,0,0,0,3,0,0,0,0,0,0,-3.36,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14.5,0,1,3553,0,TRUE,1,19,0,2,0,2,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Berry,North Florida,AWAY,Georgia,SEC,0,0,Starter,1,17,0,1,0,1,0,0,1,1,1,0,0,0,2,0,-0.491,0,9.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,14.5,0,0,"5,757",0,TRUE,1,17,0,1,0,1,0,0,1,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Berry,North Florida,HOME,Charleston Southern,Big South,0,,Starter,1,25,0,1,0,1,0,0,1,5,0,1,0,4,0,,10.109,,9.411,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24,-7.5,0,0,"2,019",0,TRUE,1,25,0,1,0,1,0,0,1,5,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atin Wright,North Texas,AWAY,Minnesota,Big Ten,0,0,Starter,1,24,1,6,1,3,2,2,1,2,1,1,2,3,5,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.5,1,0,"7,743",0,TRUE,1,24,1,6,1,3,2,2,1,2,1,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atin Wright,North Texas,HOME,Evansville,Missouri Valley,0,,Starter,1,23,5,10,4,7,2,2,1,2,1,1,0,0,16,,13.981,,46.553,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,-13.5,0,0,3451,0,TRUE,1,23,5,10,4,7,2,2,1,2,1,1,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenen Lorient,North Texas,AWAY,Minnesota,Big Ten,0,0,Bench,0,22,4,7,0,0,1,3,1,3,0,1,1,4,9,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2.5,1,0,"7,743",0,TRUE,0,22,4,7,0,0,1,3,1,3,0,1,1,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenen Lorient,North Texas,HOME,Evansville,Missouri Valley,0,,Bench,0,15,2,6,0,0,0,0,1,2,0,0,2,3,4,,13.981,,46.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-13.5,0,0,3451,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Newell,North Texas,AWAY,Minnesota,Big Ten,0,0,Starter,1,14,1,4,0,1,0,2,2,3,0,1,0,2,2,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,1,0,"7,743",0,TRUE,1,14,1,4,0,1,0,2,2,3,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Newell,North Texas,HOME,Evansville,Missouri Valley,0,,Starter,1,18,1,2,1,2,0,0,0,3,1,0,0,2,3,,13.981,,46.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-13.5,0,0,3451,0,TRUE,1,18,1,2,1,2,0,0,0,3,1,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Floyd,North Texas,AWAY,Minnesota,Big Ten,0,0,Starter,1,33,2,7,1,2,2,3,1,2,5,0,2,3,7,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2.5,1,0,"7,743",0,TRUE,1,33,2,7,1,2,2,3,1,2,5,0,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Floyd,North Texas,HOME,Evansville,Missouri Valley,0,,Starter,1,32,7,11,2,3,7,8,1,2,5,1,2,3,23,,13.981,,46.553,1,0,0,0,0,0,0,0,0,0,1,0,1,1,17,-13.5,0,0,3451,0,TRUE,1,32,7,11,2,3,7,8,1,2,5,1,2,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Massie,North Texas,AWAY,Minnesota,Big Ten,0,0,Bench,0,30,3,13,0,3,0,1,1,5,0,0,0,0,6,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.5,1,0,"7,743",0,TRUE,0,30,3,13,0,3,0,1,1,5,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Massie,North Texas,HOME,Evansville,Missouri Valley,0,,Bench,0,22,6,11,1,3,5,6,4,4,0,0,1,0,18,,13.981,,46.553,1,0,0,0,0,0,0,0,1,0,0,0,1,0,17,-13.5,0,0,3451,0,TRUE,0,22,6,11,1,3,5,6,4,4,0,0,1,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrell Jossell,North Texas,AWAY,Minnesota,Big Ten,0,0,Bench,0,12,1,3,1,3,2,3,0,0,2,0,0,4,5,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2.5,1,0,"7,743",0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrell Jossell,North Texas,HOME,Evansville,Missouri Valley,0,,Bench,0,27,2,9,0,5,3,5,1,1,3,1,0,1,7,,13.981,,46.553,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,-13.5,0,0,3451,0,TRUE,0,27,2,9,0,5,3,5,1,1,3,1,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stone,North Texas,HOME,Evansville,Missouri Valley,0,,Bench,0,12,0,1,0,0,0,0,1,0,0,1,0,0,0,,13.981,,46.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-13.5,0,0,3451,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moulaye Sissoko,North Texas,AWAY,Minnesota,Big Ten,0,0,Starter,1,28,3,4,0,0,0,0,2,4,0,1,0,1,6,0,2.603,0,46.553,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.5,1,0,"7,743",0,TRUE,1,28,3,4,0,0,0,0,2,4,0,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moulaye Sissoko,North Texas,HOME,Evansville,Missouri Valley,0,,Starter,1,25,2,3,0,0,2,3,2,2,2,4,3,2,6,,13.981,,46.553,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,-13.5,0,0,3451,0,TRUE,1,25,2,3,0,0,2,3,2,2,2,4,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
